date,Open,High,Low,Close,Volume,OpenInterest,adj_fct
2015/4/16,7681,7790,7480.2,7707.8,116888,6643,1
2015/4/17,7722,7918.8,7631.2,7758.2,114214,9144,1
2015/4/20,7760,7857,7582,7622.2,98781,10706,1
2015/4/21,7650.2,8147,7640.2,8140.4,132545,16732,1
2015/4/22,8158,8237.8,8104.4,8189.8,121034,14854,1
2015/4/23,8193,8378.8,8160.4,8265.6,132278,14805,1
2015/4/24,8247.8,8349.8,8123.8,8327.2,126381,14603,1
2015/4/27,8368,8548,8292,8347.2,125335,15187,1
2015/4/28,8308,8419,8011.6,8147,164120,15900,1
2015/4/29,8138,8309,8079,8302.2,134158,17677,1
2015/4/30,8320,8408,8291.2,8338.8,120118,16354,1
2015/5/4,8370.2,8527.4,8202.4,8347.2,101734,16271,1
2015/5/5,8334.8,8345,8090,8145,109987,15884,1
2015/5/6,8168,8280.6,7970,8040.8,111973,15456,1
2015/5/7,8020,8068,7901,7911.4,109599,15127,1
2015/5/8,7933.4,8171.4,7921,8171.2,121062,16258,1
2015/5/11,8170,8508,8144,8489.8,124722,16314,1
2015/5/12,8499.6,8648,8415.4,8647.8,152019,14671,1
2015/5/13,8595,8779,8492,8695.8,189658,14624,1
2015/5/14,8689,8813.6,8645.2,8760.4,112711,8971,1
2015/5/15,8754.8,8769.8,8605.4,8755.2,36739,0,1
2015/5/18,8640.6,8822.2,8580,8798.4,202968,32183,1
2015/5/19,8805.6,9154.4,8736.2,9120.8,228488,33556,1
2015/5/20,9121.8,9463.6,9111.2,9286.8,239847,35302,1
2015/5/21,9311.4,9755,9301,9734.6,256460,38615,1
2015/5/22,9783,9867.4,9525,9741.2,285617,37707,1
2015/5/25,9610,10020.8,9455.4,9966.6,262755,39837,1
2015/5/26,9988,10535,9986.2,10532.2,258963,40848,1
2015/5/27,10598.4,10718,10366,10552,307346,42800,1
2015/5/28,10580,10758.8,9818,9977.2,360766,40149,1
2015/5/29,10126.8,10370,9901,10121,354628,40059,1
2015/6/1,10170.2,11089.8,10168,11025.6,257035,45365,1
2015/6/2,11058,11385,10830,11250.4,280807,44075,1
2015/6/3,11281.2,11436,10809,11103.2,334871,44367,1
2015/6/4,11127,11255.4,10030,10869.2,376160,35808,1
2015/6/5,10900,11258,10540,10949,337852,33977,1
2015/6/8,10840,10939.2,10384.2,10602.6,305756,31732,1
2015/6/9,10599,10950,10453,10700.4,322063,31957,1
2015/6/10,10608,11326,10600,10987.8,312337,34462,1
2015/6/11,11094.8,11290,10920.2,11258.8,267772,33448,1
2015/6/12,11293,11585,11221.8,11427.8,253743,29351,1
2015/6/15,11461.4,11560,11023,11228.6,237446,27571,1
2015/6/16,11238,11238,10656.2,10839,296168,20877,1
2015/6/17,10837.6,11117.6,10504.4,11033.4,255006,15555,1
2015/6/18,11055,11148,10662.4,10672.6,125240,6808,1
2015/6/19,11000,11000,10206.2,10210,41773,0,1
2015/6/23,9977,10100,9375.2,9862.6,363010,34580,1
2015/6/24,9888,10214.4,9710.8,10058,336011,30433,1
2015/6/25,10101,10140,9335,9381.6,355666,29295,1
2015/6/26,9380,9390,8629,8629,296036,31210,1
2015/6/29,8788,8800,7768.4,7768.4,370110,26304,1
2015/6/30,7768,8629,7557,8346,417585,25361,1
2015/7/1,8396,8800,7509.4,7509.4,418824,24877,1
2015/7/2,7910,8277,7323.8,7667.8,502523,20707,1
2015/7/3,7718,7936.4,7072.4,7404.8,407628,24505,1
2015/7/6,8167.2,8167.2,6701.6,7440,345855,23966,1
2015/7/7,7303.6,7438,6516.2,6516.2,126905,22106,1
2015/7/8,6202,7280.2,5956.6,5956.6,37070,15144,1
2015/7/9,5956.6,6552.2,5900,6552.2,17083,13333,1
2015/7/10,6894,7207.4,6888,7207.4,11110,11715,1
2015/7/13,7500,7928,7307.4,7569.6,95522,10281,1
2015/7/14,7749,7970,7532,7645,116607,6837,1
2015/7/15,7613.6,7655.8,7002,7136,92798,5579,1
2015/7/16,7120,7765,6989,7531.8,54002,1828,1
2015/7/17,7542,7948,7501.2,7934.4,9471,0,1
2015/7/20,7920,8087.8,7413.2,7589,189519,11187,1
2015/7/21,7587.8,7935.2,7402.2,7715,185925,9804,1
2015/7/22,7715,7918,7572.2,7773,151210,10619,1
2015/7/23,7802.2,8498.6,7702.2,8386,172241,11372,1
2015/7/24,8414.2,8538,7912.4,7980,185487,11838,1
2015/7/27,7978.8,8180,7341.4,7341.4,153759,12095,1
2015/7/28,7198,7528.8,7034,7221,168856,11401,1
2015/7/29,7300.6,7715.8,6955.2,7702.8,179005,11127,1
2015/7/30,7700,7731,7146,7232,190390,11345,1
