date,Open,Close,Low,High,Volume,OpenInterest,adj_fct
2010/4/16,3450,3415.6,3413.2,3488,48988,2702,1
2010/4/19,3396,3197.4,3166.2,3398,109733,3954,1
2010/4/20,3209.2,3214.6,3168.8,3240,141862,4496,1
2010/4/21,3215,3267.2,3208,3281.2,114531,5062,1
2010/4/22,3260.2,3236.2,3211,3274.4,133247,5383,1
2010/4/23,3241,3221.2,3221,3266,116981,5808,1
2010/4/26,3243,3219.6,3211.8,3252,112229,7079,1
2010/4/27,3201.2,3138.8,3107.6,3205,139961,7386,1
2010/4/28,3101.6,3129,3094.2,3142.6,128530,7092,1
2010/4/29,3141,3083.8,3082.2,3157.6,116254,8705,1
2010/4/30,3103,3107,3043,3119.6,184157,8297,1
2010/5/4,3079.8,3076.4,3060.8,3094.4,150123,8261,1
2010/5/5,3046.4,3076.4,3031,3087,145542,9600,1
2010/5/6,3078.6,2967.4,2953.6,3083.4,170221,10150,1
2010/5/7,2928,2897.6,2862.2,2959.8,240106,8282,1
2010/5/10,2910,2918,2870,2931,201919,9873,1
2010/5/11,2949,2801.6,2797.2,2957.8,224626,8987,1
2010/5/12,2809,2836.2,2782,2855,273131,8144,1
2010/5/13,2847.8,2894.6,2823,2915.6,217422,8276,1
2010/5/14,2880,2862.6,2850.4,2894.8,185453,6237,1
2010/5/17,2840,2719,2708,2840.2,117625,4126,1
2010/5/18,2717,2779,2703,2808,40298,1924,1
2010/5/19,2762.2,2763.4,2722.6,2808.8,14913,1159,1
2010/5/20,2801,2763.2,2742.2,2844.8,293133,14774,0.992315427
2010/5/21,2702,2801,2677,2802.8,307325,13329,0.992315427
2010/5/24,2814,2902,2808,2933.4,300512,15770,0.992315427
2010/5/25,2880,2813.2,2811,2889.2,288927,15644,0.992315427
2010/5/26,2846.2,2839.6,2817.6,2878.8,326246,15219,0.992315427
2010/5/27,2825,2901.4,2790,2909.8,325500,16397,0.992315427
2010/5/28,2930,2865.2,2853,2942,306690,16764,0.992315427
2010/5/31,2850,2792,2786.2,2898.8,337678,18662,0.992315427
2010/6/1,2780,2762,2732,2820.6,420130,17746,0.992315427
2010/6/2,2758,2776.4,2718.2,2781.4,343923,18691,0.992315427
2010/6/3,2799.8,2748,2741,2807,342961,18712,0.992315427
2010/6/4,2740,2761,2722.2,2767.8,324387,16354,0.992315427
2010/6/7,2700,2706.2,2680,2718,289681,15673,0.992315427
2010/6/8,2709.8,2724.4,2683,2726,225087,16526,0.992315427
2010/6/9,2720.4,2788.8,2700.4,2808,314559,16740,0.992315427
2010/6/10,2776,2769.6,2763,2791,232630,14040,0.992315427
2010/6/11,2788,2765.8,2765,2796.8,169575,10034,0.992315427
2010/6/17,2779,2744.2,2743,2784.4,29949,4417,0.992315427
2010/6/18,2743,2716.8,2712,2756,14919,0,0.992315427
2010/6/21,2749.2,2804.8,2718,2816.6,277989,21545,0.991804338
2010/6/22,2795.6,2797.6,2793.2,2815,220831,19828,0.991804338
2010/6/23,2785,2765.2,2743,2801.6,238316,19132,0.991804338
2010/6/24,2771,2771,2750,2810,297949,18877,0.991804338
2010/6/25,2759,2753.8,2736,2772.8,249654,18599,0.991804338
2010/6/28,2751.6,2741.6,2731.4,2763.8,210541,20726,0.991804338
2010/6/29,2741.6,2600.4,2598.4,2746.8,298585,24070,0.991804338
2010/6/30,2580,2579,2563,2593,247753,21872,0.991804338
2010/7/1,2577.8,2545.2,2535.6,2584.6,243922,23657,0.991804338
2010/7/2,2550,2546,2478.8,2565,367858,24119,0.991804338
2010/7/5,2535,2530.6,2479.6,2549.6,359351,22692,0.991804338
2010/7/6,2521.4,2564.6,2511.2,2585,365680,22426,0.991804338
2010/7/7,2558,2568.4,2546.2,2582,318135,21290,0.991804338
2010/7/8,2591,2569,2562,2599.4,254951,21332,0.991804338
2010/7/9,2573.2,2650,2563,2668,327713,20855,0.991804338
2010/7/12,2652,2660.6,2647.2,2693,289268,19620,0.991804338
2010/7/13,2651,2626,2618.6,2653,269627,14223,0.991804338
2010/7/14,2640,2647,2630,2679.2,209930,10544,0.991804338
2010/7/15,2643,2604,2601.2,2695,79047,4004,0.991804338
2010/7/16,2607.4,2596,2575.8,2612.8,15142,0,0.991804338
2010/7/19,2600.2,2697.6,2593.6,2715.2,379966,23283,0.982494109
2010/7/20,2702,2746,2700.4,2761,390979,22339,0.982494109
2010/7/21,2749,2744.4,2733.8,2758.4,308125,23282,0.982494109
2010/7/22,2740,2784.4,2736.2,2785.6,385991,24307,0.982494109
2010/7/23,2790,2783.6,2765.2,2800.8,326508,22706,0.982494109
2010/7/26,2792,2796.8,2769.2,2803.2,295351,24625,0.982494109
2010/7/27,2797.8,2778,2773.6,2799.8,298118,23121,0.982494109
2010/7/28,2780.2,2887.4,2775.2,2888.6,354307,26047,0.982494109
2010/7/29,2888,2876.8,2862.8,2896,274230,23700,0.982494109
2010/7/30,2873,2871.4,2855.2,2880.6,241645,22428,0.982494109
2010/8/2,2888.2,2926.4,2880.2,2950.8,288420,25621,0.982494109
2010/8/3,2928,2856.8,2849,2935,322000,22224,0.982494109
2010/8/4,2859.8,2873.8,2835,2892,382739,24218,0.982494109
2010/8/5,2872.8,2846.4,2821.8,2880.6,319116,21171,0.982494109
2010/8/6,2850,2920,2832,2923.6,322329,23732,0.982494109
2010/8/9,2917,2913,2891.4,2932,288638,21326,0.982494109
2010/8/10,2913.2,2837,2827.8,2920.6,324580,19506,0.982494109
2010/8/11,2839,2839.4,2825,2873,359463,18164,0.982494109
2010/8/12,2822,2826.8,2810,2868.8,337014,17863,0.982494109
2010/8/13,2826,2855,2810.2,2862.8,299186,17728,0.982494109
2010/8/16,2849,2927.6,2843.6,2943,269722,16892,0.982494109
2010/8/17,2933,2947,2928.8,2961.8,176759,10563,0.982494109
2010/8/18,2949.6,2945.8,2933,2968.2,54738,6117,0.982494109
2010/8/19,2947.8,2964.8,2935,2997.8,24560,3207,0.982494109
2010/8/20,2971.2,2921.8,2911,2979.6,320487,26394,0.976958188
2010/8/23,2920.6,2905.6,2896.4,2938,252178,27326,0.976958188
2010/8/24,2898.6,2914,2875.4,2958.8,340393,26470,0.976958188
2010/8/25,2911,2856.4,2852.8,2922,328356,26769,0.976958188
2010/8/26,2889.8,2865.8,2848,2894,273128,27851,0.976958188
2010/8/27,2862,2872.6,2848.2,2875,271393,25440,0.976958188
2010/8/30,2885,2930.2,2885,2948.8,258909,27880,0.976958188
2010/8/31,2918,2910.4,2903,2922,198508,26318,0.976958188
2010/9/1,2925,2890.2,2871.6,2956.2,310156,27086,0.976958188
2010/9/2,2920,2929.2,2912.2,2949.2,292539,25167,0.976958188
2010/9/3,2933,2933,2901.4,2939.6,265581,23587,0.976958188
2010/9/6,2948,2992.2,2948,2993.6,250197,26264,0.976958188
2010/9/7,2990,2996.6,2968.8,2998,206604,27242,0.976958188
2010/9/8,2987,2995.2,2972,2998.6,193194,26107,0.976958188
2010/9/9,3004,2947.6,2935.6,3006.8,244478,24059,0.976958188
2010/9/10,2955,2940.6,2914,2956,217296,24624,0.976958188
2010/9/13,2952,2967.4,2935.6,2983.8,206588,22149,0.976958188
2010/9/14,2969.8,2966.8,2956,2995,216894,16737,0.976958188
2010/9/15,2968.8,2920,2916.4,2972.6,171429,13494,0.976958188
2010/9/16,2920,2867.6,2836.4,2926.8,62516,5240,0.976958188
2010/9/17,2867.6,2866.2,2858,2875.6,16907,0,0.976958188
2010/9/20,2881,2873,2848,2892,209602,23457,0.972682214
2010/9/21,2881,2871.4,2860.2,2886.8,163975,21201,0.972682214
2010/9/27,2882.2,2904,2879.8,2914.8,157948,21617,0.972682214
2010/9/28,2900,2891.4,2889.4,2905.4,120672,19058,0.972682214
2010/9/29,2893.4,2894.2,2881.4,2912,136850,18318,0.972682214
2010/9/30,2880,2953.4,2871.6,2955,189288,17389,0.972682214
2010/10/8,2972.6,3054.2,2966.4,3073.8,150243,19881,0.972682214
2010/10/11,3075,3137.6,3075,3162.4,208814,17039,0.972682214
2010/10/12,3124.4,3154.6,3123,3164.2,172451,15396,0.972682214
2010/10/13,3168,3206.8,3161,3208.8,182960,11797,0.972682214
2010/10/14,3221.4,3230.8,3215.8,3253.6,57606,5442,0.972682214
