date,Open,Close,Low,High,Volume,OpenInterest,adj_fct
2015/4/16,3100,3283.8,3088.8,3288.2,144423,28848,1
2015/4/17,3303.6,3254,3238,3341.6,271224,37853,1
2015/4/20,3258,3146.8,3143.6,3315,267213,37975,1
2015/4/21,3176.8,3234,3153,3242.2,239311,37771,1
2015/4/22,3250,3308,3229.8,3333.2,239676,42623,1
2015/4/23,3318.6,3267.8,3253.4,3348.2,246929,39573,1
2015/4/24,3248.8,3233,3170,3267.8,224297,36034,1
2015/4/27,3260,3357.6,3257.8,3358,259172,45698,1
2015/4/28,3339,3286.8,3265,3376,329692,36374,1
2015/4/29,3282,3295.2,3261,3325.6,242567,39968,1
2015/4/30,3315.2,3269.4,3247.2,3331.2,202408,41181,1
2015/5/4,3295.8,3273.2,3225.8,3301.8,189061,40335,1
2015/5/5,3279.6,3163,3141.2,3281.6,217674,38274,1
2015/5/6,3171.2,3153,3116,3257.4,261933,36206,1
2015/5/7,3159.6,3111.2,3103,3170,234619,40498,1
2015/5/8,3131,3099.8,3051.2,3149,215483,37887,1
2015/5/11,3112,3160,3078,3170.4,201465,30050,1
2015/5/12,3151,3175,3138,3194.6,189729,23176,1
2015/5/13,3200,3125.4,3112.4,3204.8,165986,17535,1
2015/5/14,3131.2,3129.4,3108,3158.4,106178,10750,1
2015/5/15,3140,3073.2,3054.8,3140,42093,0,1
2015/5/18,3033.6,2969.4,2962,3049,177652,30409,1.010455711
2015/5/19,2973.4,3143,2971.2,3145.6,295536,32724,1.010455711
2015/5/20,3163,3145.2,3102.2,3217,288447,41966,1.010455711
2015/5/21,3157,3191.4,3139.8,3200.2,259112,44675,1.010455711
2015/5/22,3200,3303,3194,3310,323497,49710,1.010455711
2015/5/25,3298.6,3413.6,3280,3435.4,294392,58985,1.010455711
2015/5/26,3426,3417.8,3377.8,3458,346109,60316,1.010455711
2015/5/27,3453.8,3396.8,3351.8,3507,342601,58323,1.010455711
2015/5/28,3411.6,3164.6,3121.2,3419,385437,47345,1.010455711
2015/5/29,3179.4,3118.6,3060.6,3194.8,371616,37538,1.010455711
2015/6/1,3100,3336,3086.6,3340.4,344357,41622,1.010455711
2015/6/2,3340,3295.6,3220.4,3349.2,356277,38496,1.010455711
2015/6/3,3296.6,3244.8,3210.2,3336,411425,34342,1.010455711
2015/6/4,3258.8,3373.2,3021.2,3395.8,535862,43924,1.010455711
2015/6/5,3369,3304.8,3203,3426.2,473292,46520,1.010455711
2015/6/8,3315,3535,3285,3543,474019,73160,1.010455711
2015/6/9,3539.2,3415.8,3385,3565,558664,69199,1.010455711
2015/6/10,3399,3365,3351.2,3445.8,422773,64664,1.010455711
2015/6/11,3381.8,3361,3326.6,3415,394680,64572,1.010455711
2015/6/12,3373.2,3405.2,3330,3408,360426,67900,1.010455711
2015/6/15,3395.6,3263.8,3246.6,3417.4,398272,61775,1.010455711
2015/6/16,3264.8,3193.4,3153.2,3293,388570,54689,1.010455711
2015/6/17,3231,3205.4,3155.2,3233.6,362681,41817,1.010455711
2015/6/18,3200,3085.4,3065.8,3205,243040,19516,1.010455711
2015/6/19,3098.2,2993,2926.6,3098.2,83799,0,1.010455711
2015/6/23,2888.6,2982.6,2818,3038.8,535265,74829,1.057445435
2015/6/24,2998.8,3044.2,2965,3058,414165,67504,1.057445435
2015/6/25,3080,2919.2,2906.6,3097.4,473847,65506,1.057445435
2015/6/26,2906,2690,2666.2,2968.8,661394,70148,1.057445435
2015/6/29,2790,2654.8,2473,2836.2,861208,64914,1.057445435
2015/6/30,2715.2,2847.8,2631.2,2886.2,649227,63114,1.057445435
2015/7/1,2847,2696.2,2629.6,2878.2,553003,56575,1.057445435
2015/7/2,2744.8,2740.4,2605,2814.4,632565,55597,1.057445435
2015/7/3,2725,2596,2518.4,2760,582227,49954,1.057445435
2015/7/6,2850,2756.8,2633,2870,469021,46882,1.057445435
2015/7/7,2737,2747,2677,2826,403815,38656,1.057445435
2015/7/8,2650,2500.2,2500.2,3055.8,168297,31316,1.057445435
2015/7/9,2405.2,2751.4,2355.2,2751.4,273706,23490,1.057445435
2015/7/10,2739.8,2853,2700,3020,586568,21468,1.057445435
2015/7/13,2839,2799,2791,2892,381964,17872,1.057445435
2015/7/14,2814,2712.6,2646,2814.4,339183,14713,1.057445435
2015/7/15,2711.8,2708,2623,2734,344500,12407,1.057445435
2015/7/16,2694.2,2760.6,2667.2,2784.4,223454,4320,1.057445435
2015/7/17,2760,2792.2,2728.2,2799,36370,0,1.057445435
2015/7/20,2747.2,2690.4,2641.2,2763,300532,15128,1.076804939
2015/7/21,2684,2666,2624.6,2711,313348,14811,1.076804939
2015/7/22,2660,2632.6,2591.2,2662,232780,16163,1.076804939
